Symptom1,Symptom2,Symptom3,Disease
Anxiety,Hearing loss,Headache,Dengue_65926
Palpitations,Sweating,Depression,Chickenpox_144129
Loss of appetite,Dry mouth,Abdominal pain,Pneumonia_170807
Anxiety,Tingling,Night sweats,Tonsillitis_212010
Depression,Sneezing,Rash,Scabies_403227
Runny nose,Joint pain,Rash,Multiple Sclerosis_990046
Chest pain,Depression,Rash,Dengue_810942
Constipation,Red eyes,Tingling,Migraine_471145
Cough,Jaundice,Itchy skin,Psoriasis_41297
Chills,Palpitations,Diarrhea,Meningitis_581426
Dry mouth,Blurred vision,Tremors,Thalassemia_344581
Dry mouth,Weight loss,Headache,Sinusitis_565516
Joint pain,Wheezing,Swollen glands,Scabies_105009
Fever,Jaundice,Sore throat,Dengue_397954
Sneezing,Swollen glands,Tingling,HIV/AIDS_322026
Fatigue,Hearing loss,Tingling,Measles_395171
Loss of appetite,Muscle pain,Sneezing,Zika Virus_936008
Headache,Hearing loss,Hair loss,Tonsillitis_936832
Weight loss,Hair loss,Wheezing,Bronchitis_382828
Sore throat,Swollen glands,Dry mouth,Thalassemia_454429
Hair loss,Cough,Muscle pain,Ulcerative Colitis_917
Hearing loss,Insomnia,Fatigue,Epilepsy_526032
Fatigue,Itchy skin,Constipation,Sinusitis_428896
Insomnia,Headache,Night sweats,Tonsillitis_498406
Loss of appetite,Hair loss,Sore throat,Epilepsy_171556
Dry mouth,Constipation,Muscle pain,Celiac Disease_378413
Jaundice,Tremors,Hair loss,Conjunctivitis_909808
Red eyes,Runny nose,Abdominal pain,Hypertension_673534
Chills,Palpitations,Night sweats,Diabetes_696303
Back pain,Loss of appetite,Sweating,Tuberculosis_50512
Chills,Palpitations,Dry mouth,Hepatitis A_193212
Chills,Blurred vision,Shortness of breath,Lupus_619374
Anxiety,Swollen glands,Fatigue,Celiac Disease_264287
Wheezing,Tingling,Jaundice,Typhoid_678510
Fever,Wheezing,Runny nose,Tuberculosis_992270
Swollen glands,Joint pain,Anxiety,Ulcerative Colitis_245223
Wheezing,Insomnia,Diarrhea,HIV/AIDS_748124
Depression,Blurred vision,Dizziness,Sinusitis_272450
Chills,Runny nose,Chest pain,HIV/AIDS_253670
Diarrhea,Anxiety,Chest pain,Anemia_429838
Weight loss,Night sweats,Dry mouth,Typhoid_654728
Sneezing,Fatigue,Wheezing,Rabies_565652
Itchy skin,Blurred vision,Sneezing,Conjunctivitis_714170
Sweating,Swollen glands,Hearing loss,COVID-19_21487
Red eyes,Loss of appetite,Blurred vision,Meningitis_184906
Headache,Hearing loss,Sore throat,Vertigo_858359
Hair loss,Headache,Back pain,Anemia_282178
Chest pain,Runny nose,Tingling,Cholera_933451
Sore throat,Dizziness,Chills,Bronchitis_529614
Loss of appetite,Swollen glands,Anxiety,Tonsillitis_508204
Hair loss,Constipation,Blurred vision,Psoriasis_607005
Chills,Red eyes,Diarrhea,Jaundice_558468
Headache,Itchy skin,Wheezing,Multiple Sclerosis_510772
Shortness of breath,Itchy skin,Nausea,Tuberculosis_541838
Rash,Chills,Red eyes,HIV/AIDS_526404
Red eyes,Cough,Sweating,Dengue_318420
Shortness of breath,Weight loss,Depression,Migraine_187463
Vomiting,Swollen glands,Loss of appetite,Tonsillitis_629552
Cough,Constipation,Joint pain,Celiac Disease_933081
Chest pain,Cough,Blurred vision,Depression_444289
Rash,Headache,Sneezing,Measles_639155
Dry mouth,Depression,Wheezing,Chickenpox_347679
Headache,Cough,Sneezing,Zika Virus_987896
Nausea,Muscle pain,Chills,Chikungunya_448518
Cough,Jaundice,Insomnia,Tetanus_61818
Nausea,Vomiting,Palpitations,Pneumonia_454535
Vomiting,Wheezing,Headache,Ulcerative Colitis_303367
Headache,Abdominal pain,Dizziness,Gastroenteritis_793845
Insomnia,Itchy skin,Fatigue,Gastroenteritis_97497
Headache,Nausea,Fever,Migraine_612227
Swollen glands,Blurred vision,Hearing loss,Thalassemia_578215
Dizziness,Shortness of breath,Constipation,Multiple Sclerosis_35270
Fever,Constipation,Jaundice,Gastroenteritis_322115
Vomiting,Insomnia,Cough,Psoriasis_453273
Tremors,Rash,Diarrhea,Zika Virus_535256
Dry mouth,Sneezing,Fever,Measles_207031
Constipation,Dizziness,Fatigue,Diabetes_550667
Hearing loss,Palpitations,Fatigue,Tuberculosis_788260
Sore throat,Fatigue,Hair loss,Malaria_371089
Constipation,Sweating,Depression,COVID-19_18635
Swollen glands,Fatigue,Chest pain,Measles_823293
Chills,Cough,Shortness of breath,Ulcerative Colitis_424669
Dry mouth,Hearing loss,Hair loss,Chickenpox_418703
Muscle pain,Tingling,Dry mouth,Bronchitis_858606
Insomnia,Sweating,Fatigue,Zika Virus_291180
Headache,Cough,Abdominal pain,Epilepsy_858796
Hair loss,Night sweats,Sweating,Diabetes_906983
Itchy skin,Constipation,Cough,Asthma_789501
Itchy skin,Insomnia,Muscle pain,Gastroenteritis_753089
Abdominal pain,Chills,Dizziness,Ulcerative Colitis_533459
Fatigue,Loss of appetite,Insomnia,Sinusitis_661196
Dry mouth,Chest pain,Depression,Conjunctivitis_805894
Palpitations,Dry mouth,Runny nose,Migraine_827369
Tremors,Tingling,Cough,Celiac Disease_595027
Itchy skin,Wheezing,Dry mouth,UTI_629370
Joint pain,Sweating,Red eyes,Meningitis_857288
Night sweats,Wheezing,Hearing loss,Thalassemia_459857
Fever,Anxiety,Sneezing,Hepatitis B_321705
Swollen glands,Muscle pain,Shortness of breath,Mononucleosis_600103
Runny nose,Sneezing,Dizziness,Dengue_533792
Rash,Hearing loss,Anxiety,Rabies_688886
Rash,Sore throat,Loss of appetite,Dengue_150566
Headache,Vomiting,Nausea,Hepatitis A_809106
Cough,Sweating,Jaundice,Thalassemia_984441
Dizziness,Palpitations,Fever,Hepatitis B_725171
Blurred vision,Joint pain,Constipation,Leprosy_380725
Chest pain,Dizziness,Sore throat,Depression_358637
Insomnia,Blurred vision,Fatigue,Chikungunya_668030
Sweating,Shortness of breath,Chest pain,COVID-19_48443
Headache,Itchy skin,Hearing loss,Zika Virus_210036
Depression,Nausea,Hearing loss,Conjunctivitis_495302
Fatigue,Tremors,Fever,Celiac Disease_414753
Insomnia,Anxiety,Abdominal pain,Zika Virus_481850
Muscle pain,Back pain,Chest pain,Depression_302287
Tremors,Wheezing,Sweating,Scabies_328891
Shortness of breath,Hair loss,Anxiety,Epilepsy_406708
Fever,Palpitations,Chest pain,Leprosy_833457
Fatigue,Sweating,Chills,Scabies_273783
Abdominal pain,Fatigue,Diarrhea,Malaria_899629
Sweating,Constipation,Tingling,HIV/AIDS_300544
Joint pain,Fatigue,Chest pain,Influenza_66384
Tingling,Muscle pain,Swollen glands,Dengue_927276
Chest pain,Hearing loss,Vomiting,Typhoid_956258
Back pain,Hearing loss,Chest pain,Asthma_713371
Anxiety,Depression,Diarrhea,Chickenpox_796409
Rash,Dry mouth,Blurred vision,Mononucleosis_932269
Chills,Hearing loss,Vomiting,Thalassemia_737605
Fever,Cough,Diarrhea,Hepatitis B_937047
Anxiety,Rash,Depression,Hepatitis B_113233
Back pain,Depression,Jaundice,Asthma_458623
Nausea,Chest pain,Wheezing,Migraine_70715
Insomnia,Sneezing,Abdominal pain,Psoriasis_340251
Sore throat,Sneezing,Abdominal pain,Rabies_365000
Constipation,Chills,Shortness of breath,Lupus_422448
Night sweats,Diarrhea,Vomiting,Pneumonia_46699
Weight loss,Shortness of breath,Swollen glands,Measles_416699
Diarrhea,Dry mouth,Hair loss,Leprosy_17647
Chills,Jaundice,Joint pain,HIV/AIDS_499494
Chills,Dizziness,Loss of appetite,Scabies_814099
Tingling,Cough,Dry mouth,Lupus_236378
Chest pain,Sore throat,Insomnia,Measles_175797
Dry mouth,Loss of appetite,Red eyes,Rabies_550610
Hair loss,Tremors,Shortness of breath,Influenza_692352
Fatigue,Blurred vision,Sore throat,Epilepsy_982996
Hair loss,Jaundice,Joint pain,Syphilis_31641
Fever,Diarrhea,Sore throat,Typhoid_598976
Dry mouth,Headache,Itchy skin,Dengue_898526
Chest pain,Vomiting,Dry mouth,Depression_698163
Fever,Back pain,Fatigue,Ulcerative Colitis_469197
Swollen glands,Blurred vision,Headache,Pneumonia_634073
Vomiting,Headache,Itchy skin,Tuberculosis_471320
Tremors,Headache,Dry mouth,Tonsillitis_47146
Chest pain,Red eyes,Diarrhea,Jaundice_615508
Runny nose,Nausea,Weight loss,HIV/AIDS_544896
Red eyes,Blurred vision,Sore throat,Gonorrhea_667945
Shortness of breath,Sweating,Palpitations,Tuberculosis_876442
Wheezing,Tingling,Chest pain,Chickenpox_326243
Chills,Weight loss,Dry mouth,Chikungunya_562598
Rash,Back pain,Shortness of breath,Syphilis_976665
Fatigue,Shortness of breath,Headache,Conjunctivitis_866200
Headache,Hearing loss,Tremors,Cholera_22973
Itchy skin,Anxiety,Hearing loss,Hypertension_864848
Red eyes,Tremors,Dry mouth,Migraine_232175
Depression,Wheezing,Chills,Anemia_245700
Blurred vision,Headache,Constipation,Celiac Disease_162213
Joint pain,Headache,Chills,Gastroenteritis_820617
Constipation,Swollen glands,Dizziness,Typhoid_856162
Headache,Cough,Abdominal pain,COVID-19_209581
Hearing loss,Sneezing,Shortness of breath,Gastroenteritis_230437
Weight loss,Diarrhea,Red eyes,Syphilis_337863
Hearing loss,Headache,Diarrhea,Bronchitis_508592
Hair loss,Sneezing,Headache,Measles_177591
Weight loss,Chest pain,Constipation,Sinusitis_507740
Blurred vision,Dry mouth,Itchy skin,Bronchitis_84104
Sneezing,Wheezing,Back pain,Chikungunya_968088
Back pain,Diarrhea,Joint pain,Cholera_176199
Diarrhea,Shortness of breath,Nausea,COVID-19_848843
Muscle pain,Joint pain,Shortness of breath,Diabetes_263903
Red eyes,Back pain,Weight loss,Conjunctivitis_424370
Palpitations,Chest pain,Fever,Ulcerative Colitis_956981
